FileName,Author,GENDER,Paper_Language,Paper_Subject
1,Raf De Bont,M,EN,HIS
2,Siobhán Hearne,F,EN,HIS
3,Elizabeth Banks,F,EN,HIS
4,BjörnQuanjer,M,EN,HIS
5,LeonardKuki?,M,EN,HIS
6,Laura Panza,F,EN,HIS
7,Xuesheng You,M,EN,HIS
8,Mattia Viale,M,EN,HIS
9,Björn Quanjer,M,EN,HIS
10,Safya Morshed,F,EN,HIS
11,Andrea Papadia,M,EN,HIS
12,David Edgerton,M,EN,HIS
13,Sara Horrell,F,EN,HIS
14,Alexander J. Field,M,EN,HIS
15,ROMOLA J. DAVENPORT,F,EN,HIS
16,Maanik Nath,M,EN,HIS
17,Mary A. O’Sullivan,F,EN,HIS
18,Marina Chuchko,F,EN,HIS
19,Mattia C. Bertazzini,M,EN,HIS
20,Emiliano Travieso,M,EN,HIS
21,John D. Turner,M,EN,HIS
22,Brian D. Varian,M,EN,HIS
23,Michail Raftakis,M,EN,HIS
24,PHILIP SLAVIN,M,EN,HIS
25,CORINNE BOTER,F,EN,HIS
1,ENDEL TULVING,M,EN,PSY
2,E. KEVIN KELLOWAY,M,EN,PSY
3,Tony Xing Tan,M,EN,PSY
4,Emre Han Alpay,M,EN,PSY
5,Patricia J. Bauer,F,EN,PSY
6,Karen Tocatly,F,EN,PSY
7,Morris N. Eagle,F,EN,PSY
8,Diane Ehrensaft,F,EN,PSY
9,Pratyusha Tummala-Narra,F,EN,PSY
10,James William Anderson,M,EN,PSY
11,Danielle Knafo,F,EN,PSY
12,Ghislaine Boulanger,F,EN,PSY
13,Orna Afek,F,EN,PSY
14,Séamus A. Power,M,EN,PSY
15,Mariska Kappmeier,F,EN,PSY
16,Michael G. Wessells,M,EN,PSY
17,Aaro Toomela,M,EN,PSY
18,Mary Beth Morrissey,F,EN,PSY
19,Philip Cushman,M,EN,PSY
20,Erin D. Bigler,M,EN,PSY
21,Sarah A. Rendón García,F,EN,PSY
22,Riana Elyse Anderson,F,EN,PSY
23,Xu Li,M,EN,PSY
24,Joseph P. Gone,M,EN,PSY
25,Alexander K. Tatum,M,EN,PSY
26,Marc Applebaum,M,EN,PSY
27,Siby K. George,M,EN,PSY
28,Simon Wharne,M,EN,PSY
29,René J. Muller,M,EN,PSY
30,Belinda Siew,F,EN,PSY
1,Kristen Gunderson,F,FR,HIS
2,Jeremy John Walling,M,FR,HIS
3,Sara-Jane Vigneault,F,FR,HIS
4,Chloé Poitras-Raymond,F,FR,HIS
5,Thi Lam Dien Tran,F,FR,HIS
6,Amélia Lecousy,F,FR,HIS
7,Alexis Legaré Hamel,F,FR,HIS
8,Alissa Michalke,F,FR,HIS
9,Olivier Péloquin,M,FR,HIS
10,Maude Savaria,F,FR,HIS
11,Hanen Allouch,F,FR,HIS
12,Laurent Sabate,M,FR,HIS
13,Fanny Bieth,F,FR,HIS
14,Anne-Sophie Pratte,F,FR,HIS
15,Kim Girouard,F,FR,HIS
16,Jae Yeong Han,M,FR,HIS
17,Shao-Lan Hertel,F,FR,HIS
18,Frédérick Gosselin,M,FR,HIS
19,Julien Lehoux,M,FR,HIS
20,Beatrice Falcucci,F,FR,HIS
21,Andrew John Fletcher,M,FR,HIS
22,Elizabeth Shotton,F,FR,HIS
23,Christophe Lafaye,M,FR,HIS
24,Yann Cantin,M,FR,HIS
25,Sophie Doucet,F,FR,HIS
1,Léandre LAVOIE-HUDON,M,FR,PSY
2,Marc-Antoine LINTEAU,M,FR,PSY
3,Dave LAROCHE,M,FR,PSY
4,Diane Aubin,F,FR,PSY
5,Stella Gurreri,F,FR,PSY
6,Estibaliz Jimenez,F,FR,PSY
7,Dominique Meilleur,F,FR,PSY
8,Georges-André Tessier,M,FR,PSY
9,Serge Larivée,M,FR,PSY
10,Faustin Mounguengui,M,FR,PSY
11,Benoît Fromage,M,FR,PSY
12,Alexandre Marois,M,FR,PSY
13,Jamila Hattouti,F,FR,PSY
14,René-Marc Lavigne,M,FR,PSY
15,Hubert Van Gijseghem,M,FR,PSY
16,Alyssa Turpin-Samson,F,FR,PSY
17,Caroline Beauregard,F,FR,PSY
18,Audrey Lamothe-Lachaîne,F,FR,PSY
19,Caterina Mamprin,F,FR,PSY
20,Mickael Idrac,M,FR,PSY
21,Abel Dalleau,M,FR,PSY
22,Christophe Ferveur,M,FR,PSY
23,Lyne Bordeleau and Jeannette LeBlanc,F,FR,PSY
24,Stephan Kennepohl,M,FR,PSY
25,Khalid Boudarse,M,FR,PSY
26,Pierre Gaudriault,M,FR,PSY
27,Catherine Esnard,F,FR,PSY
1,Jesse Hoffnung-­ Garskof,M,ES,HIS
2,Rebecca J. Scott,F,ES,HIS
3,Richard Lee Turits,M,ES,HIS
4,Paul Christopher Johnson,M,ES,HIS
5,Howard I. Tsai,M,ES,HIS
6,Jean M. Hébrard,M,ES,HIS
7,Richard Lee Turits,M,ES,HIS
8,Oscar A. Pérez,M,ES,HIS
9,Jesse Hoffnung-­ Garskof,M,ES,HIS
10,Stuart Kirsch,M,ES,HIS
11,Francesco Di Bernardo,M,ES,HIS
12,Jorge Camacho,M,ES,HIS
13,Monserrat García Rodenas,F,ES,HIS
14,Irene Domingo,F,ES,HIS
15,Enrique Muñoz-Mantas,M,ES,HIS
16,Silvia M. Roca-MarHnez,F,ES,HIS
17,Juan Romero Vinueza,M,ES,HIS
18,Jorge Camacho,M,ES,HIS
19,Brandon P. Bisbey,M,ES,HIS
20,Daniel Herrera Cepero,M,ES,HIS
21,ALEJANDRO AMARO SEGUÍ,M,ES,HIS
22,Eric Rojas,M,ES,HIS
23,Jorge Camacho,M,ES,HIS
24,RODRIGO PARDO FERNÁNDEZ,M,ES,HIS
25,Bruno Nassi Peric,M,ES,HIS
1,Fernanda Nicole Suazo Quintana,F,ES,PSY
2,Marina Jodra-Chuan,F,ES,PSY
3,Devis Geovanny Cedeño-Mero,M,ES,PSY
4,Jorge Eliecer Villarreal-Fernández,M,ES,PSY
5,Solana Salessi,F,ES,PSY
6,Borja Guerrero-Bocanegra,F,ES,PSY
7,Laura Margarita Daza-Murcia,F,ES,PSY
8,José Gabriel Soriano-Sánchez,M,ES,PSY
9,Natalia Cornejo-Guerra,F,ES,PSY
10,Tania Vieites Lestón,F,ES,PSY
11,Fuensanta Cerezo,F,ES,PSY
12,Stephen J. Loew,M,ES,PSY
13,Lourdes Álvarez Fernández,F,ES,PSY
14,Vincenzo A. Piccione,M,ES,PSY
15,Javier Pérez Padilla,M,ES,PSY
16,Yannick Hernández Bourlon-Buon,M,ES,PSY
17,Jaime Antonio Foces Gil,M,ES,PSY
18,Javier Páez Gallego,M,ES,PSY
19,Francisco-Manuel Morales Rodríguez,M,ES,PSY
20,Marc Pallarès Piquer,M,ES,PSY
21,Malka Margalit,F,ES,PSY
22,Pierre Mounoud,M,ES,PSY
23,Diego Gutiérrez del Pozo,M,ES,PSY
24,Elena Cuenca,F,ES,PSY
25,Esteban Sánchez Manzano,M,ES,PSY
